read_acc, length, #covered, %coverage
sim_rand_1, 1000, 675, 67.5
sim_rand_2, 1000, 725, 72.5
sim_rand_3, 1000, 709, 70.89999999999999
sim_rand_4, 1000, 713, 71.3
sim_rand_5, 1000, 719, 71.89999999999999
sim_rand_6, 1000, 739, 73.9
sim_rand_7, 1000, 705, 70.5
sim_rand_8, 1000, 699, 69.89999999999999
sim_rand_9, 1000, 730, 73
sim_rand_10, 1000, 732, 73.2
sim_rand_11, 1000, 744, 74.4
sim_rand_12, 1000, 669, 66.9
sim_rand_13, 1000, 654, 65.4
sim_rand_14, 1000, 671, 67.10000000000001
sim_rand_15, 1000, 803, 80.30000000000001
sim_rand_16, 1000, 640, 64
sim_rand_17, 1000, 655, 65.5
sim_rand_18, 1000, 720, 72
sim_rand_19, 1000, 660, 66
sim_rand_20, 1000, 646, 64.60000000000001
sim_rand_21, 1000, 692, 69.19999999999999
sim_rand_22, 1000, 783, 78.3
sim_rand_23, 1000, 713, 71.3
sim_rand_24, 1000, 706, 70.6
sim_rand_25, 1000, 693, 69.3
sim_rand_26, 1000, 754, 75.4
sim_rand_27, 1000, 756, 75.6
sim_rand_28, 1000, 649, 64.9
sim_rand_29, 1000, 717, 71.7
sim_rand_30, 1000, 698, 69.8
sim_rand_31, 1000, 730, 73
sim_rand_32, 1000, 714, 71.39999999999999
sim_rand_33, 1000, 705, 70.5
sim_rand_34, 1000, 732, 73.2
sim_rand_35, 1000, 754, 75.4
sim_rand_36, 1000, 720, 72
sim_rand_37, 1000, 713, 71.3
sim_rand_38, 1000, 709, 70.89999999999999
sim_rand_39, 1000, 709, 70.89999999999999
sim_rand_40, 1000, 673, 67.30000000000001
sim_rand_41, 1000, 731, 73.1
sim_rand_42, 1000, 712, 71.2
sim_rand_43, 1000, 667, 66.7
sim_rand_44, 1000, 651, 65.10000000000001
sim_rand_45, 1000, 720, 72
sim_rand_46, 1000, 762, 76.2
sim_rand_47, 1000, 731, 73.1
sim_rand_48, 1000, 728, 72.8
sim_rand_49, 1000, 727, 72.7
sim_rand_50, 1000, 723, 72.3
sim_rand_51, 1000, 733, 73.3
sim_rand_52, 1000, 667, 66.7
sim_rand_53, 1000, 683, 68.30000000000001
sim_rand_54, 1000, 652, 65.2
sim_rand_55, 1000, 725, 72.5
sim_rand_56, 1000, 801, 80.10000000000001
sim_rand_57, 1000, 697, 69.69999999999999
sim_rand_58, 1000, 687, 68.7
sim_rand_59, 1000, 686, 68.60000000000001
sim_rand_60, 1000, 709, 70.89999999999999
sim_rand_61, 1000, 724, 72.39999999999999
sim_rand_62, 1000, 697, 69.69999999999999
sim_rand_63, 1000, 724, 72.39999999999999
sim_rand_64, 1000, 732, 73.2
sim_rand_65, 1000, 721, 72.1
sim_rand_66, 1000, 769, 76.9
sim_rand_67, 1000, 666, 66.60000000000001
sim_rand_68, 1000, 717, 71.7
sim_rand_69, 1000, 732, 73.2
sim_rand_70, 1000, 658, 65.8
sim_rand_71, 1000, 712, 71.2
sim_rand_72, 1000, 714, 71.39999999999999
sim_rand_73, 1000, 726, 72.6
sim_rand_74, 1000, 719, 71.89999999999999
sim_rand_75, 1000, 664, 66.4
sim_rand_76, 1000, 739, 73.9
sim_rand_77, 1000, 698, 69.8
sim_rand_78, 1000, 730, 73
sim_rand_79, 1000, 710, 71
sim_rand_80, 1000, 664, 66.4
sim_rand_81, 1000, 691, 69.1
sim_rand_82, 1000, 751, 75.1
sim_rand_83, 1000, 762, 76.2
sim_rand_84, 1000, 729, 72.89999999999999
sim_rand_85, 1000, 732, 73.2
sim_rand_86, 1000, 645, 64.5
sim_rand_87, 1000, 700, 70
sim_rand_88, 1000, 671, 67.10000000000001
sim_rand_89, 1000, 673, 67.30000000000001
sim_rand_90, 1000, 685, 68.5
sim_rand_91, 1000, 721, 72.1
sim_rand_92, 1000, 735, 73.5
sim_rand_93, 1000, 673, 67.30000000000001
sim_rand_94, 1000, 735, 73.5
sim_rand_95, 1000, 690, 69
sim_rand_96, 1000, 670, 67
sim_rand_97, 1000, 673, 67.30000000000001
sim_rand_98, 1000, 759, 75.9
sim_rand_99, 1000, 736, 73.6
sim_rand_100, 1000, 715, 71.5
sim_rand_101, 1000, 754, 75.4
sim_rand_102, 1000, 723, 72.3
sim_rand_103, 1000, 729, 72.89999999999999
sim_rand_104, 1000, 654, 65.4
sim_rand_105, 1000, 704, 70.39999999999999
sim_rand_106, 1000, 730, 73
sim_rand_107, 1000, 745, 74.5
sim_rand_108, 1000, 692, 69.19999999999999
sim_rand_109, 1000, 661, 66.10000000000001
sim_rand_110, 1000, 746, 74.6
sim_rand_111, 1000, 697, 69.69999999999999
sim_rand_112, 1000, 674, 67.4
sim_rand_113, 1000, 746, 74.6
sim_rand_114, 1000, 702, 70.19999999999999
sim_rand_115, 1000, 708, 70.8
sim_rand_116, 1000, 689, 68.89999999999999
sim_rand_117, 1000, 701, 70.1
sim_rand_118, 1000, 711, 71.1
sim_rand_119, 1000, 744, 74.4
sim_rand_120, 1000, 786, 78.60000000000001
sim_rand_121, 1000, 698, 69.8
sim_rand_122, 1000, 747, 74.7
sim_rand_123, 1000, 666, 66.60000000000001
sim_rand_124, 1000, 748, 74.8
sim_rand_125, 1000, 698, 69.8
sim_rand_126, 1000, 731, 73.1
sim_rand_127, 1000, 694, 69.39999999999999
sim_rand_128, 1000, 729, 72.89999999999999
sim_rand_129, 1000, 678, 67.80000000000001
sim_rand_130, 1000, 687, 68.7
sim_rand_131, 1000, 736, 73.6
sim_rand_132, 1000, 687, 68.7
sim_rand_133, 1000, 667, 66.7
sim_rand_134, 1000, 747, 74.7
sim_rand_135, 1000, 724, 72.39999999999999
sim_rand_136, 1000, 727, 72.7
sim_rand_137, 1000, 699, 69.89999999999999
sim_rand_138, 1000, 744, 74.4
sim_rand_139, 1000, 702, 70.19999999999999
sim_rand_140, 1000, 677, 67.7
sim_rand_141, 1000, 733, 73.3
sim_rand_142, 1000, 717, 71.7
sim_rand_143, 1000, 735, 73.5
sim_rand_144, 1000, 682, 68.2
sim_rand_145, 1000, 662, 66.2
sim_rand_146, 1000, 734, 73.4
sim_rand_147, 1000, 717, 71.7
sim_rand_148, 1000, 737, 73.7
sim_rand_149, 1000, 714, 71.39999999999999
sim_rand_150, 1000, 766, 76.6
sim_rand_151, 1000, 761, 76.1
sim_rand_152, 1000, 790, 79
sim_rand_153, 1000, 722, 72.2
sim_rand_154, 1000, 693, 69.3
sim_rand_155, 1000, 708, 70.8
sim_rand_156, 1000, 646, 64.60000000000001
sim_rand_157, 1000, 649, 64.9
sim_rand_158, 1000, 707, 70.7
sim_rand_159, 1000, 726, 72.6
sim_rand_160, 1000, 726, 72.6
sim_rand_161, 1000, 771, 77.10000000000001
sim_rand_162, 1000, 707, 70.7
sim_rand_163, 1000, 718, 71.8
sim_rand_164, 1000, 717, 71.7
sim_rand_165, 1000, 683, 68.30000000000001
sim_rand_166, 1000, 695, 69.5
sim_rand_167, 1000, 749, 74.9
sim_rand_168, 1000, 704, 70.39999999999999
sim_rand_169, 1000, 724, 72.39999999999999
sim_rand_170, 1000, 731, 73.1
sim_rand_171, 1000, 726, 72.6
sim_rand_172, 1000, 751, 75.1
sim_rand_173, 1000, 694, 69.39999999999999
sim_rand_174, 1000, 752, 75.2
sim_rand_175, 1000, 735, 73.5
sim_rand_176, 1000, 681, 68.10000000000001
sim_rand_177, 1000, 715, 71.5
sim_rand_178, 1000, 728, 72.8
sim_rand_179, 1000, 700, 70
sim_rand_180, 1000, 740, 74
sim_rand_181, 1000, 730, 73
sim_rand_182, 1000, 783, 78.3
sim_rand_183, 1000, 685, 68.5
sim_rand_184, 1000, 678, 67.80000000000001
sim_rand_185, 1000, 672, 67.2
sim_rand_186, 1000, 702, 70.19999999999999
sim_rand_187, 1000, 742, 74.2
sim_rand_188, 1000, 750, 75
sim_rand_189, 1000, 740, 74
sim_rand_190, 1000, 702, 70.19999999999999
sim_rand_191, 1000, 766, 76.6
sim_rand_192, 1000, 801, 80.10000000000001
sim_rand_193, 1000, 719, 71.89999999999999
sim_rand_194, 1000, 739, 73.9
sim_rand_195, 1000, 741, 74.1
sim_rand_196, 1000, 764, 76.4
sim_rand_197, 1000, 665, 66.5
sim_rand_198, 1000, 758, 75.8
sim_rand_199, 1000, 703, 70.3
