read_acc, length, #covered, %coverage
sim_rand_0, 198, 182, 91.91919191919192
sim_rand_1, 182, 180, 98.9010989010989
sim_rand_2, 196, 176, 89.79591836734694
sim_rand_3, 187, 172, 91.97860962566845
sim_rand_4, 213, 213, 100
sim_rand_5, 197, 182, 92.38578680203045
sim_rand_6, 176, 154, 87.5
sim_rand_7, 178, 160, 89.8876404494382
sim_rand_8, 207, 183, 88.40579710144928
sim_rand_9, 191, 168, 87.95811518324608
sim_rand_10, 189, 167, 88.35978835978835
sim_rand_11, 209, 209, 100
sim_rand_12, 195, 173, 88.71794871794872
sim_rand_13, 185, 153, 82.70270270270271
sim_rand_14, 187, 170, 90.9090909090909
sim_rand_15, 183, 183, 100
sim_rand_16, 183, 160, 87.43169398907104
sim_rand_17, 188, 188, 100
sim_rand_18, 199, 187, 93.96984924623115
sim_rand_19, 212, 212, 100
sim_rand_20, 191, 175, 91.62303664921467
sim_rand_21, 199, 182, 91.4572864321608
sim_rand_22, 204, 189, 92.64705882352942
sim_rand_23, 207, 201, 97.10144927536231
sim_rand_24, 187, 171, 91.44385026737967
sim_rand_25, 193, 193, 100
sim_rand_26, 194, 194, 100
sim_rand_27, 189, 169, 89.41798941798942
sim_rand_28, 210, 188, 89.52380952380953
sim_rand_29, 192, 191, 99.47916666666666
sim_rand_30, 202, 202, 100
sim_rand_31, 186, 186, 100
sim_rand_32, 209, 187, 89.47368421052632
sim_rand_33, 190, 189, 99.47368421052632
sim_rand_34, 173, 155, 89.59537572254335
sim_rand_35, 194, 194, 100
sim_rand_36, 207, 202, 97.58454106280193
sim_rand_37, 205, 185, 90.2439024390244
sim_rand_38, 182, 161, 88.46153846153845
sim_rand_39, 207, 191, 92.27053140096618
sim_rand_40, 222, 222, 100
sim_rand_41, 178, 162, 91.01123595505618
sim_rand_42, 206, 186, 90.29126213592234
sim_rand_43, 194, 169, 87.11340206185567
sim_rand_44, 222, 202, 90.990990990991
sim_rand_45, 181, 163, 90.05524861878453
sim_rand_46, 214, 214, 100
sim_rand_47, 198, 198, 100
sim_rand_48, 204, 190, 93.13725490196079
sim_rand_49, 173, 158, 91.32947976878613
sim_rand_50, 203, 170, 83.74384236453201
sim_rand_51, 224, 205, 91.51785714285714
sim_rand_52, 199, 174, 87.43718592964824
sim_rand_53, 186, 170, 91.39784946236558
sim_rand_54, 193, 168, 87.04663212435233
sim_rand_55, 196, 172, 87.75510204081633
sim_rand_56, 180, 163, 90.55555555555556
sim_rand_57, 186, 186, 100
sim_rand_58, 214, 193, 90.18691588785047
sim_rand_59, 208, 187, 89.90384615384616
sim_rand_60, 196, 172, 87.75510204081633
sim_rand_61, 201, 201, 100
sim_rand_62, 188, 168, 89.36170212765957
sim_rand_63, 207, 183, 88.40579710144928
sim_rand_64, 197, 179, 90.86294416243655
sim_rand_65, 205, 188, 91.70731707317074
sim_rand_66, 204, 180, 88.23529411764706
sim_rand_67, 184, 169, 91.84782608695652
sim_rand_68, 204, 204, 100
sim_rand_69, 209, 209, 100
sim_rand_70, 177, 157, 88.70056497175142
sim_rand_71, 210, 190, 90.47619047619048
sim_rand_72, 188, 188, 100
sim_rand_73, 204, 179, 87.74509803921569
sim_rand_74, 207, 193, 93.23671497584542
sim_rand_75, 213, 189, 88.73239436619718
sim_rand_76, 190, 190, 100
sim_rand_77, 191, 168, 87.95811518324608
sim_rand_78, 206, 185, 89.80582524271846
sim_rand_79, 189, 171, 90.47619047619048
sim_rand_80, 205, 185, 90.2439024390244
sim_rand_81, 201, 201, 100
sim_rand_82, 193, 193, 100
sim_rand_83, 183, 183, 100
sim_rand_84, 217, 194, 89.40092165898618
sim_rand_85, 196, 189, 96.42857142857143
sim_rand_86, 190, 189, 99.47368421052632
sim_rand_87, 222, 196, 88.28828828828829
sim_rand_88, 189, 173, 91.53439153439153
sim_rand_89, 208, 191, 91.82692307692307
sim_rand_90, 211, 211, 100
sim_rand_91, 198, 198, 100
sim_rand_92, 189, 169, 89.41798941798942
sim_rand_93, 192, 167, 86.97916666666666
sim_rand_94, 212, 195, 91.98113207547169
sim_rand_95, 199, 170, 85.42713567839196
sim_rand_96, 192, 170, 88.54166666666666
sim_rand_97, 181, 166, 91.71270718232044
sim_rand_98, 200, 183, 91.5
sim_rand_99, 184, 171, 92.93478260869566
sim_rand_100, 198, 179, 90.40404040404042
sim_rand_101, 200, 183, 91.5
sim_rand_102, 217, 197, 90.78341013824884
sim_rand_103, 204, 187, 91.66666666666666
sim_rand_104, 199, 179, 89.9497487437186
sim_rand_105, 216, 191, 88.42592592592592
sim_rand_106, 200, 182, 91
sim_rand_107, 198, 198, 100
sim_rand_108, 196, 173, 88.26530612244898
sim_rand_109, 173, 154, 89.01734104046243
sim_rand_110, 204, 204, 100
sim_rand_111, 202, 189, 93.56435643564357
sim_rand_112, 201, 175, 87.06467661691542
sim_rand_113, 198, 198, 100
sim_rand_114, 196, 173, 88.26530612244898
sim_rand_115, 205, 187, 91.21951219512195
sim_rand_116, 197, 174, 88.3248730964467
sim_rand_117, 197, 197, 100
sim_rand_118, 185, 169, 91.35135135135135
sim_rand_119, 202, 179, 88.61386138613861
sim_rand_120, 203, 185, 91.13300492610837
sim_rand_121, 186, 170, 91.39784946236558
sim_rand_122, 204, 204, 100
sim_rand_123, 221, 220, 99.5475113122172
sim_rand_124, 199, 177, 88.94472361809045
sim_rand_125, 209, 187, 89.47368421052632
sim_rand_126, 212, 198, 93.39622641509435
sim_rand_127, 199, 198, 99.49748743718592
sim_rand_128, 194, 171, 88.14432989690721
sim_rand_129, 172, 154, 89.53488372093024
sim_rand_130, 200, 200, 100
sim_rand_131, 196, 182, 92.85714285714286
sim_rand_132, 197, 178, 90.35532994923858
sim_rand_133, 215, 215, 100
sim_rand_134, 194, 193, 99.48453608247422
sim_rand_135, 189, 189, 100
sim_rand_136, 210, 185, 88.09523809523809
sim_rand_137, 197, 170, 86.29441624365482
sim_rand_138, 184, 169, 91.84782608695652
sim_rand_139, 185, 169, 91.35135135135135
sim_rand_140, 183, 161, 87.97814207650273
sim_rand_141, 199, 176, 88.44221105527639
sim_rand_142, 201, 185, 92.03980099502488
sim_rand_143, 199, 199, 100
sim_rand_144, 199, 178, 89.44723618090453
sim_rand_145, 200, 176, 88
sim_rand_146, 206, 178, 86.40776699029125
sim_rand_147, 193, 173, 89.63730569948186
sim_rand_148, 209, 196, 93.77990430622009
sim_rand_149, 211, 195, 92.41706161137441
sim_rand_150, 200, 181, 90.5
sim_rand_151, 224, 224, 100
sim_rand_152, 200, 177, 88.5
sim_rand_153, 207, 189, 91.30434782608695
